Hour,Heating Demand (kWh),Cooling Demand (kWh)
0,2.3,0.0
1,2.4,0.0
2,2.5,0.0
3,2.6,0.0
4,2.7,0.0
5,2.8,0.0
6,2.9,0.0
7,3.0,0.0
8,3.1,0.0
9,3.2,0.0
10,3.3,0.0
11,3.4,0.0
12,3.5,0.0
13,3.4,0.0
14,3.3,0.0
15,3.2,0.0
16,3.1,0.0
17,3.0,0.0
18,2.9,0.0
19,2.8,0.0
20,2.7,0.0
21,2.6,0.0
22,2.5,0.0
23,2.4,0.0
24,2.3,0.0
25,2.4,0.0
26,2.5,0.0
27,2.6,0.0
28,2.7,0.0
29,2.8,0.0
30,2.9,0.0
31,3.0,0.0
32,3.1,0.0
33,3.2,0.0
34,3.3,0.0
35,3.4,0.0
36,3.5,0.0
37,3.4,0.0
38,3.3,0.0
39,3.2,0.0
40,3.1,0.0
41,3.0,0.0
42,2.9,0.0
43,2.8,0.0
44,2.7,0.0
45,2.6,0.0
46,2.5,0.0
47,2.4,0.0
48,2.3,0.0
49,2.4,0.0
50,2.5,0.0
51,2.6,0.0
52,2.7,0.0
53,2.8,0.0
54,2.9,0.0
55,3.0,0.0
56,3.1,0.0
57,3.2,0.0
58,3.3,0.0
59,3.4,0.0
60,3.5,0.0
61,3.4,0.0
62,3.3,0.0
63,3.2,0.0
64,3.1,0.0
65,3.0,0.0
66,2.9,0.0
67,2.8,0.0
68,2.7,0.0
69,2.6,0.0
70,2.5,0.0
71,2.4,0.0
72,2.3,0.0
73,2.4,0.0
74,2.5,0.0
75,2.6,0.0
76,2.7,0.0
77,2.8,0.0
78,2.9,0.0
79,3.0,0.0
80,3.1,0.0
81,3.2,0.0
82,3.3,0.0
83,3.4,0.0
84,3.5,0.0
85,3.4,0.0
86,3.3,0.0
87,3.2,0.0
88,3.1,0.0
89,3.0,0.0
90,2.9,0.0
91,2.8,0.0
92,2.7,0.0
93,2.6,0.0
94,2.5,0.0
95,2.4,0.0
96,2.3,0.0
97,2.4,0.0
98,2.5,0.0
99,2.6,0.0
100,2.7,0.0
101,2.8,0.0
102,2.9,0.0
103,3.0,0.0
104,3.1,0.0
105,3.2,0.0
106,3.3,0.0
107,3.4,0.0
108,3.5,0.0
109,3.4,0.0
110,3.3,0.0
111,3.2,0.0
112,3.1,0.0
113,3.0,0.0
114,2.9,0.0
115,2.8,0.0
116,2.7,0.0
117,2.6,0.0
118,2.5,0.0
119,2.4,0.0
120,2.3,0.0
121,2.4,0.0
122,2.5,0.0
123,2.6,0.0
124,2.7,0.0
125,2.8,0.0
126,2.9,0.0
127,3.0,0.0
128,3.1,0.0
129,3.2,0.0
130,3.3,0.0
131,3.4,0.0
132,3.5,0.0
133,3.4,0.0
134,3.3,0.0
135,3.2,0.0
136,3.1,0.0
137,3.0,0.0
138,2.9,0.0
139,2.8,0.0
140,2.7,0.0
141,2.6,0.0
142,2.5,0.0
143,2.4,0.0
144,2.3,0.0
145,2.4,0.0
146,2.5,0.0
147,2.6,0.0
148,2.7,0.0
149,2.8,0.0
150,2.9,0.0
151,3.0,0.0
152,3.1,0.0
153,3.2,0.0
