h,wind speed
0,1.07
1,1.34
2,1.64
3,1.9
4,2.03
5,2.08
6,2.06
7,2.06
8,2.3
9,2.22
10,2.2
11,2.12
12,1.94
13,1.8
14,1.66
15,1.33
16,1.57
17,1.17
18,0.47
19,0.66
20,1.09
21,1.37
22,1.59
23,1.8
24,1.99
25,2.13
26,2.19
27,2.2
28,2.21
29,2.26
30,2.29
31,2.33
32,2.79
33,2.9
34,2.95
35,2.95
36,2.88
37,2.72
38,2.29
39,1.04
40,0.66
41,0.93
42,1.75
43,2.39
44,2.76
45,2.99
46,3.14
47,3.29
48,3.42
49,3.52
50,3.58
51,3.61
52,3.65
53,3.72
54,3.77
55,4.05
56,5.4
57,6.92
58,8.11
59,8.66
60,8.71
61,8.29
62,7.6
63,5.35
64,3.92
65,4.45
66,5.59
67,6.43
68,6.88
69,6.97
70,7
71,7.18
72,7.51
73,7.81
74,8.05
75,8.01
76,7.84
77,7.7
78,7.55
79,7.48
80,7.8
81,8.92
82,10.68
83,11.46
84,11.35
85,9.69
86,9.34
87,8.67
88,6.89
89,6.65
90,7.18
91,8.45
92,9.4
93,10.1
94,10.71
95,11.18
96,11.12
97,10.8
98,10.49
99,10.37
100,10.49
101,10.66
102,10.69
103,10.81
104,11.44
105,12.86
106,13.9
107,14.41
108,14.37
109,13.95
110,13.62
111,13.28
112,12.75
113,13.1
114,13.93
115,14.75
116,15.04
117,14.69
118,14.08
119,13.08
120,12.14
121,11.57
122,11.2
123,11.04
124,11.23
125,11.3
126,10.99
127,10.54
128,10.39
129,10.58
130,11.28
131,11.73
132,12.25
133,12.47
134,12.22
135,11.42
136,10.47
137,10.4
138,10.93
139,11.92
140,12.8
141,13.57
142,13.86
143,13.1
144,12.03
145,10.97
146,10.84
147,11.08
148,10.96
149,9.99
150,7.91
151,6.26
152,7.57
153,10.3
154,11.92
155,12.3
156,11.86
157,10.86
158,9.66
159,7.9
160,5.33
161,5.19
162,6
163,6.81
164,7.36
165,7.61
166,8.03
167,8.61
168,9.36
169,9.9
170,10.36
171,10.66
172,10.76
173,10.7
174,10.28
175,9.97
176,9.99
177,10.48
178,10.72
179,10.47
180,10.56
181,10.45
182,9.81
183,8.1
184,5.27
185,4.81
186,4.61
187,4.41
188,4.28
189,4.12
190,4.04
191,4.02
192,3.96
193,4
194,4.08
195,4.12
196,4.12
197,4.09
198,4.03
199,4
200,5.03
201,4.87
202,4.67
203,4.52
204,4.52
205,4.55
206,4.33
207,2.62
208,2.53
209,2.54
210,2.78
211,3.32
212,3.92
213,4.48
214,4.94
215,5.04
216,4.94
217,4.76
218,4.58
219,4.31
220,4.01
221,3.8
222,3.65
223,3.65
224,4.58
225,4.89
226,5.33
227,5.54
228,5.54
229,5.36
230,4.82
231,3.16
232,1.95
233,1.56
234,1.32
235,1.47
236,1.55
237,1.34
238,0.97
239,0.62
240,0.35
241,0.47
242,0.66
243,0.67
244,0.57
245,0.37
246,0.3
247,0.46
248,0.73
249,0.94
250,1.43
251,1.8
252,2.03
253,2.08
254,1.98
255,1.33
256,1.02
257,0.27
258,1.33
259,2
260,2.32
261,2.55
262,2.76
263,2.98
264,3.2
265,3.35
266,3.43
267,3.47
268,3.51
269,3.56
270,3.61
271,3.57
272,4.16
273,4.49
274,4.48
275,4.33
276,4.03
277,3.7
278,3.23
279,1.89
280,1.93
281,2.39
