Hour,Electricity Demand (kWh),Space Heating Demand (kWh),Space Cooling Demand (kWh),Domestic Hot Water Demand (kWh),Solar Irradiance (kW/m2),Wind Speed (m/s),Ambient Temperature (C)
1,1.45,1.93,1.24,0.33,0.84,10.76,23.13
2,1.92,0.31,1.99,0.74,0.41,11.39,25.46
3,0.97,3.04,0.59,0.86,0.22,12.18,20.36
4,1.58,1.54,1.96,1.04,0.65,5.93,13.64
5,0.97,2.45,0.52,0.9,0.5,11.9,4.04
6,1.46,0.29,2.29,0.2,0.68,5.38,31.96
7,1.9,1.73,1.63,0.37,0.41,6.24,23.84
8,1.05,0.54,1.29,1.28,0.93,13.54,4.73
9,1.94,1.3,0.21,1.22,0.96,10.13,30.4
10,1.07,0.76,2,0.22,0.79,3.74,24.27
11,1.09,1.93,0.57,0.22,0.3,9.98,19.35
12,1.65,3.57,0.37,1.31,0.16,2.3,11.96
13,1.04,1.59,0.47,0.67,0.44,3.91,14.2
14,0.99,3.61,0.55,0.73,0.44,0.84,14.26
15,0.78,3.1,2.05,1.43,0.82,10.21,18.38
16,0.63,2.99,1.46,1.37,0.02,14.22,9.18
17,1.76,3.12,1.4,0.71,0.09,14,12.1
18,1.21,2.84,1.39,1.24,0.34,12.12,8.9
19,1.48,0.81,1.24,0.79,0.12,2.4,33.9
20,1.22,3.35,1.55,0.76,0.38,12.66,14.07
21,1.06,1.5,0.48,0.23,0.21,0.04,24.85
22,1.11,1.08,0.85,1.23,0.98,13.75,12.18
23,0.62,3.33,0.3,1.25,0.52,10.56,28.86
24,1.51,2.47,2.51,1.19,0.63,2.63,7.73
25,1.27,1.01,3,1.45,0.82,8.46,6.61
26,0.6,3.55,2.11,0.26,0.51,9.4,-3.32
27,1.44,2.16,0.14,1.46,0.45,4.02,13.72
28,0.81,0.1,1.42,1.32,0.59,12.77,25.14
29,0.71,2.11,0.02,0.35,0.15,7.69,5.24
30,1.97,3.82,0.83,0.25,0.81,8.47,8.83
31,0.62,0.65,0.24,0.23,0.64,13.29,2.61
32,1.59,1.2,1.26,0.35,0.93,9.82,-0.78
33,1.55,0.91,1.29,1.27,0.75,8.85,30.23
34,1.28,0.88,0.53,0.68,0.29,1.89,17.76
35,0.63,0.31,2.49,1.01,0.82,8.13,30.03
36,0.94,1.87,2.3,0.71,0.1,13.71,-4.12
37,0.74,3.27,2.48,0.94,0.12,9.1,-4.66
38,1.98,0.96,1.64,0.56,0.9,4.27,17.66
39,0.65,2.84,0.02,1.37,0.16,12.43,15.46
40,0.52,2.29,2.77,1,0.09,6.52,8.37
41,0.83,0.85,2.76,0.8,0.98,1.19,10.5
42,1.68,2.28,1.63,0.56,0.41,7.25,-3.93
43,1.77,2.09,2.71,0.59,0.75,11.42,25.98
44,1.55,0.9,0.8,1.1,0.75,13.78,11.53
45,1.15,0.07,1.55,0.73,0.28,9.97,24.23
46,1.69,1.63,2.07,0.93,0.1,12.58,32.49
47,1.52,1.29,1.51,1.48,0.16,11.25,-4.64
48,1.99,1.13,2.55,0.61,0.4,2.73,24.51
49,1.16,2.79,1.63,0.73,0.96,14.76,30.2
50,0.78,2.84,0.5,0.62,0.38,0.85,29.36
51,0.6,3.71,2.49,0.32,0.9,4.11,31.71
52,1.44,0.11,2.12,1.42,0.81,11.45,1.99
53,1.9,3.64,1.54,1.18,0.54,2.01,-1.36
54,1.68,2.7,1.49,1,0.11,8.52,-4.78
55,1.6,2.64,2.07,0.23,0.72,9.46,17.63
56,1.28,3.97,1.99,1.28,0.69,10.31,28.04
57,0.77,0.31,0.78,0.29,0.46,2.41,23.71
58,0.91,3.21,2.25,0.37,0.48,3.11,25.26
59,0.92,2.37,2.56,0.31,0.04,1.86,6.14
60,1.5,0.65,0.71,0.39,0.36,2.57,30.98
61,1.78,3.08,1.35,1.03,0.43,12.5,28.97
62,0.71,1.43,0.91,0.31,0.18,1.71,-1.87
63,0.55,1.01,0.53,1.03,0.2,6.02,29.1
64,1.27,2.31,0.28,1.21,0.27,0.23,27.95
65,1.85,1.91,2.49,0.8,0.51,11.45,14.63
66,1.94,0.63,0.68,1.03,0.07,14.36,22.67
67,1.22,2.92,1.88,0.66,0.49,4.49,2.52
68,0.87,1.25,1.31,1.17,0.36,4.57,28.84
69,1.65,1.97,1.51,1.48,0.52,8.61,27.81
70,0.75,1.16,1.61,0.64,0.55,1.97,30.81
71,1.74,1.76,1.85,0.99,0.83,9.03,-4.07
72,1.8,1,2.39,1.46,0.37,8.25,28.67
73,0.97,1.92,0.53,0.24,0.83,5.99,-0.75
74,0.78,0.64,0.94,0.56,0.09,10.51,4.17
75,0.67,1.13,0.34,0.41,0.03,8.15,-3.15
76,1.41,0.85,2.09,0.99,0.18,12.66,0.39
77,1.97,1.44,0.94,0.43,0.56,10.91,19.58
78,1.17,3.32,2.38,0.61,0.79,8.71,1.71
79,0.9,1.98,2.18,0.76,0.96,4.76,27.99
80,1.74,1.7,0.13,0.27,0.27,0.43,7.78
81,1.57,2.29,0.31,0.59,0.33,5.57,13.2
82,0.61,3.14,1.81,0.49,0.25,11.6,29.24
83,0.89,1.19,2.11,0.76,0.31,13.37,11.04
84,1.06,3.23,1.11,1.5,0.39,12.76,16.13
85,0.82,1,0.6,1.5,0.61,5.54,-3.71
86,1.82,3.39,0.48,0.44,0.56,0.45,9.58
87,0.78,3.33,0.72,1.13,0.06,14.06,9.91
88,1.69,2.36,0.5,1.36,0.53,10.25,27.85
89,1.61,1.43,0.96,0.88,0.77,7.19,-1.02
90,0.52,1.66,1.47,1.16,0.66,11.68,-0.14
91,0.92,3.25,2.03,0.74,0.65,1.34,23.97
92,1.27,0.33,2.6,0.98,0.09,1.3,25.1
93,0.83,3.15,2.17,0.8,0.52,10.61,15.91
94,1.73,0.53,1.96,0.59,0.26,1.01,8.87
95,0.7,3.26,2.36,0.39,0.77,0.74,18.34
96,0.75,3.61,2.71,0.58,0.05,10.8,23.13
97,1.38,2.05,0.69,1.35,0.61,11.12,0.6
98,0.54,3.01,1.87,1.37,0.14,6.19,13.94
99,1.99,0.81,0.11,1.32,0.51,5.87,24.28
100,1.3,3.09,2.97,0.58,0.04,6.63,5.47
101,1.48,2.81,2.57,1.36,0.51,5.54,15.68
102,0.88,0.46,1.11,0.41,0.66,6.69,11.6
103,1.93,2.02,1.85,1.32,0.34,2.78,-0.82
104,1,3.06,1.64,0.56,0.94,8.76,26.83
105,0.69,0.37,2.53,1.05,0.43,7.76,-1.26
106,1.18,2.64,1.44,1.18,0.3,9.98,16.85
107,0.69,3.2,0.39,0.3,0.81,2.74,-3.5
108,1.94,1.39,1.44,0.58,0.21,1.33,7.05
109,1.26,1.53,0.36,1.02,0.8,12.09,-4.87
110,1.4,1.1,2.42,0.98,0.86,13.56,33.33
111,1.23,0.75,0.5,1.35,0.27,2.58,8.31
112,0.85,3.83,1.11,1.04,0.68,6.24,34.03
113,0.76,2.81,0.32,0.47,0.45,10.88,14.2
114,1.95,0.21,1.14,1.22,0.57,7.87,31.29
115,0.98,3.71,2.89,1.45,0.58,8.5,2.5
116,0.59,0.46,2.79,1.05,0.2,5.13,-3.16
117,1.26,3.7,1.69,0.81,0.86,1.8,2.12
118,0.87,1.81,1.91,1.25,0.98,14.41,19.19
119,1.56,1.94,1.06,0.79,0.52,11.15,33.58
120,1.07,2.16,0.63,0.4,0.13,4.81,-3.38
121,1.9,0.37,0.83,0.31,0.74,10.72,21.14
122,1.15,2.66,0.24,0.72,0.16,5.86,-0.86
123,1.51,2.62,1.34,1.12,0.04,2.93,16.55
124,1.77,2.31,0.26,1.1,0.47,10.17,21.01
125,1.8,3.55,1.12,0.89,0.68,6.16,17.36
126,1.33,1.91,2.55,0.77,0.5,1.73,16.86
127,1.71,2.84,1.17,1.06,0.19,5.01,27.95
128,0.87,1.36,1.31,1.45,0.48,5.86,12.96
129,1.4,3.7,1.58,0.58,0.17,5.81,-2.57
130,0.55,3.73,0.94,0.93,0.91,8.58,15.49
131,1,1.93,0.25,1.3,0.43,6.55,14.97
132,1.02,2.94,2.28,0.54,0.32,11.11,28.17
133,1.81,0.93,0.72,0.54,0.79,9.35,32.69
134,1.21,2.57,0.44,1.35,0.55,7.86,31.64
135,1.61,0.34,0.26,1.45,0.14,11.43,29.46
136,1.21,3.45,2.04,1.09,0.11,13.97,12.13
137,0.97,2.89,0.05,1.04,0.27,3.37,3.1
138,1.91,3.82,1.78,0.88,0.76,11.86,1.95
139,1.44,3.11,1.05,1.22,0.45,6.46,25.94
140,1.46,0.73,1.52,1.46,0.19,8.5,33.11
141,1.24,1.87,2.72,0.7,0.04,12.32,25.34
142,0.78,2.17,0,0.58,0.37,8.34,26.7
143,1.75,3.31,1.91,1.47,0.24,2.73,33.58
144,1.61,2.2,2.68,0.86,0.95,14.66,32.43
145,1.07,1.91,0.73,0.43,0.2,12.61,-0.29
146,1.91,2.85,0.35,1.35,0.7,1.58,29.63
147,1.02,2.57,1.17,0.34,0.23,2.57,31.1
148,0.56,3,2.85,0.87,0.06,5.28,-0.77
149,0.89,1.9,1.75,1.19,0.01,7.1,30.37
150,1.05,2.89,2.84,1.34,0.27,2.43,23.15
151,1.73,3.88,0.81,0.31,0.91,6.73,23.79
152,1.68,0.73,2.16,1.08,0.24,6.7,33.54
153,1.15,0.21,0.83,1.25,0.55,3.85,10.17
154,1.55,2.28,1.55,1.01,0.24,2.21,24.89
155,0.84,0.63,2.71,0.53,0.71,2.4,24.27
156,1.84,0.66,0.26,1.08,0.77,12.47,25.62
157,0.59,2.69,0.89,1.38,0.21,11.93,15.47
158,1.1,1.69,1.06,1.41,0.05,0.3,16.04
159,1.71,0.13,0.18,1.13,0.13,3.26,29.6
160,1.27,2.25,0.71,0.5,0.49,0.42,3.7
161,1.72,0.98,0.19,0.49,0.4,2.06,19.69
162,0.75,1.74,0.88,0.67,0.1,1.16,15.6
163,0.88,0.16,0.08,0.45,0.12,11.44,11.59
164,1.1,0.25,0.12,0.51,0.56,5.34,30.61
165,1.79,0.77,0.7,0.49,0.99,10.51,-3.15
166,1.94,2.87,1.14,0.33,0.93,8.07,9.28
167,0.59,3.16,1.19,0.89,0.89,3.69,24.14
168,1.91,1.38,1.05,0.56,0.08,7.46,13.1
169,1.55,0.5,1.54,1.49,0.11,3.48,26.55
170,1.23,3.75,2.74,0.75,0.71,5.15,14.73
171,0.87,3.15,1.37,1.03,0.89,13.21,0.95
172,0.93,0.66,0.3,1.43,0.3,12.23,20.49
173,1.5,0.91,2.05,1.23,0.5,6.57,8.4
174,1.13,0.15,2.87,1.26,0.39,2.51,1.4
175,0.55,3.6,0.59,1.42,0.14,2.39,19.55
176,1.95,3.73,0.58,1.3,0.42,9.76,28.82
177,1.5,0.33,0.75,1.36,0.42,7.42,12.39
178,1.68,0.59,0.15,1.39,0.64,8.01,7.06
179,1.46,0.82,2.42,0.84,0.75,1.14,33.26
180,1.57,0.72,1.14,0.41,0.79,5.69,22.62
181,0.56,3.76,2.32,1.28,0.16,5.56,10.25
182,1.08,1.05,1.88,1.29,0.61,4.04,6.98
183,1.9,1.5,0.34,0.96,0.23,11.33,0.63
184,1.94,0.27,1.64,1.21,0.77,2.01,13.56
185,1.88,2.51,2.15,1.39,0.49,11.83,8.42
186,2,1.06,0.15,0.89,0.36,1.3,34.82
187,0.61,0.98,1.26,0.89,0.87,2.34,11.65
188,0.6,3.91,2.43,1.38,0.87,7.89,1.73
189,1.9,0.15,2.95,0.91,0.93,8.67,6.26
190,0.55,0.75,2.09,1.26,0.57,14.51,-4.8
191,1.83,2.05,0.93,1.28,0.68,9.09,17.38
192,1.81,2.25,0.84,0.61,0.43,8.46,30.63
193,1.31,2.85,1.76,1.5,0.9,2.82,18.69
194,1.82,0.84,2.8,1.29,0.49,1.29,-1.62
195,1.53,1.58,0.68,1.15,0.74,11.85,26
196,0.76,1.15,0.69,0.7,0.84,11.6,1.79
197,1.77,3.34,1.54,0.42,0.43,6.35,5.95
198,1.1,1.44,1.73,0.64,0.84,1.17,3.09
199,0.83,1.04,2.81,0.32,0.89,7.21,32.8
200,1.97,2.47,0.97,1.33,0.01,6.01,15.13
201,1.53,0.43,1.28,1.19,0.44,11.03,24.43
202,0.78,3.4,1.07,0.51,0.96,8.61,27.04
203,1.81,1.12,2.2,0.46,0.05,2.12,15.99
204,1.74,3.3,1.07,0.52,0.44,2.67,21.45
205,0.65,3.97,1.31,0.74,0.81,2.23,6.46
206,0.69,0.09,1.09,0.84,0.48,5.03,34.08
207,0.84,0.77,0.08,0.31,0.73,4.2,1.59
208,1.85,2.99,1.63,0.3,0.86,3.88,-2.39
209,1.59,0.33,1.18,0.65,0.2,6.73,8.59
210,1.85,1.79,0.39,1.02,0.21,12.44,33.19
211,1.77,0.6,1.8,1.09,0.75,4.7,14.2
212,1.3,1.88,2.07,1.08,0.36,4.41,-2.2
213,0.58,0.05,1.54,0.88,0.3,6.98,22.55
214,1.58,0.6,0.75,1.44,0.61,4.71,34.59
215,1.43,1.1,1.6,1.18,0.97,9.15,-4.8
216,0.85,0.79,0.83,0.83,0.18,1.01,14.06
217,1.89,1.45,0.45,0.81,0.71,3.42,26.79
218,1.53,0.58,0.29,0.9,0.67,11.26,13.02
219,1.7,3.28,0.51,0.64,0.76,12.99,8.64
220,1.66,2.08,2.82,1.37,0.54,6.3,3.22
221,0.69,1.24,0.87,0.87,0.77,3.57,0.35
222,0.92,1.18,1.92,1.04,0.01,5.3,-1.05
223,1.64,0.98,2.29,0.48,0.58,12.36,25.99
224,1.38,2.02,1.7,0.55,0.13,9.3,7.51
225,0.69,2.12,1.52,1.41,0.62,4.8,13.2
226,1.14,3.97,1.05,0.27,0.75,11.64,28.86
227,0.86,2.52,0.62,0.64,0.44,6.26,10.91
228,1.62,2.13,2.7,0.84,0.68,2.14,-2.02
229,0.71,0.15,1.8,0.63,0.97,2.38,11.72
230,1.42,2.2,0.43,0.68,0.95,14.75,17.88
231,0.54,1.98,2.23,1.5,0.3,3.04,-4.41
232,1.54,3.59,0.29,0.96,0.2,13.53,18.25
233,0.63,2.89,1.56,0.87,0.65,11.89,0.99
234,0.69,1.92,0.18,0.75,0.48,5.34,-0.59
235,1.22,0.91,1.43,1.21,0.1,5.34,23.34
236,0.52,2.86,1.62,1.14,0.1,9.61,0.9
237,1.97,1.15,1.51,1.04,0.3,6.08,-1
238,0.91,1.41,1.32,0.43,1,1.8,13.11
239,0.51,2.77,0.73,0.35,0.34,14.36,11.35
240,1.8,1.25,0.27,0.84,0.09,5.88,21.13
241,0.6,1.19,1.88,1.24,0.35,3.99,32.99
242,1.81,1.77,0.46,0.29,0.22,1.28,-1.25
243,1.7,2.65,1.14,1.37,0.36,8.09,32.53
244,0.68,3.77,2.21,1.3,0.51,6.35,24.54
245,0.67,0.59,1.82,0.47,0.93,14.08,5.99
